lpAddress,lpName,protocolName,token0_address,token0_symbol,token0_decimals,token1_address,token1_symbol,token1_decimals
0xfe55b5962e7469c72e27e2ac2fe67721f49def27,Uniswap V2,Uniswap V2,0x0e58ed58e150dba5fd8e5d4a49f54c7e1e880124,RELI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x37fc088cfd67349be00f5504d00ddb7f2274b3f6,SushiSwap LP Token,SushiSwap,0x72b886d09c117654ab7da13a14d603001de0b777,XDEFI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xf1e6a8401415b350d08accfab8aee04cb1548c1e,Uniswap V2:HILO/WETH,Uniswap V2,0xbb9fd9fa4863c03c574007ff3370787b9ce65ff6,HILO,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x5a86c375f343126a4bf09a0dde46cbafeec083dc,Uniswap V2,Uniswap V2,0x7e9d8f07a64e363e97a648904a89fb4cd5fb94cd,FF,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x6a091a3406e0073c3cd6340122143009adac0eda,SushiSwap LP Token,SushiSwap,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,ILV,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x4b62fa30fea125e43780dc425c2be5acb4ba743b,UniswapV3 LP,Uniswap V3,0x582d872a1b094fc48f5de31d3b73f2d9be47def1,TONCOIN,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x3ad1754fd7b22af9f9ce66a068e146749aae2d61,DXswap:NOAHP/WETH,,0x41b3f18c6384dc9a39c33afeca60d9b8e61eaa9f,NOAHP,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x10cfa744c77f1cb9a77fa418ac4a1b6ec62bcce4,Uniswap V2,Uniswap V2,0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,MCB,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x290ccaa8cc8e21d16f042d9ae0de9ac1805b824f,Uniswap V2:PZEN/WETH,Uniswap V2,0x5a24d7129b6f3fcad2220296df28911880ad22b0,PZEN,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xf5106125261d4ed42df24c12d66e38ec6ba8238b,SakeSwap LP Token:POOLZ/WETH,SakePerp,0x69a95185ee2a045cdc4bcd1b1df10710395e4e23,POOLZ,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xb9a507f407c4a78026e55ce54de8aedc5d687f0a,Uniswap V2,Uniswap V2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xfcfc434ee5bff924222e084a8876eee74ea7cfba,DELTA rLP,18
0xadeaa96a81ebba4e3a5525a008ee107385d588c3,SushiSwap LP Token,SushiSwap,0x87edffde3e14c7a66c9b9724747a1c5696b742e6,SWAG,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
