blockNumber,txHash,token_symbols,token_addresses,pools,pool_addresses
16089309,0x6f814338e464918eb76be99439ef77ebfb63f38a7a3b9370703e3928a4ae4445,WETH MAGIC,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xb0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a,MAGIC-WETH(usp2) MAGIC-WETH(sush),0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590 0x8d308e01f0401345996552dc391e44c4f3ce8754
16089317,0xe2cfe24f1a1cf59ac9bce1ecb6ce5150661936d861949dcb19aeb2c49088b69f,MKR WETH,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MKR-WETH(usp2) MKR-WETH(sush),0xc2adda861f89bbb333c90c492cb837741916a225 0xba13afecda9beb75de5c56bbaf696b880a5a50dd
16089327,0xe90e10d4c46b9e5086653d8ad69822b77199faaa9c66c08920ce2b5ff7f91557,WETH UOS,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c,WETH-UOS-0.010(usp3) WETH-UOS(usp2),0xe8b977aa5a9303fa94818441d78575e0f697ae72 0x42d52847be255eacee8c3f96b3b223c0b3cc0438
16089327,0x22e9d98fe27a2caca6278595ace8a50cc47aae09cfa0ebe5e74eceba6446a2a8,renBTC WBTC WETH,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WBTC-WETH-0.0005(usp3) WETH-renBTC-0.0005(usp3) WBTC-renBTC-0.0005(usp3),0x4585fe77225b41b697c938b018e2ac67ac5a20c0 0xda2b18487a4012c46344083982afbea6871d7ac3 0x3730ecd0aa7eb9b35a4e89b032bef80a1a41aa7f
16089330,0x6649f859011b6a0e4f408904d6e80c31162388cede188e9e753880243b7a55fd,NODE WETH,0xda007777d86ac6d989cc9f79a73261b3fc5e0da0 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH-NODE(sush) WETH-NODE(usp2),0x60cd8dcc7cce0cca6a3743727ce909b6f715b2d8 0xee3b01b2debd3df95bf24d4aacf8e70373113315
16089335,0xf9f265b9618e6ca50a1b962c956e77507a25231bec802800ee0209fb33fb3506,WETH NAOS,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x4a615bb7166210cce20e6642a6f8fb5d4d044496,NAOS-WETH(usp2) NAOS-WETH(sush),0x9b577e849b128ee1a69144b218e809b8bb98c35d 0x82ebcd936c9e938704b65027850e42393f8bc4d4
16089340,0x7d393697e104e2816dae3e816a20692e7fae12410ff6be8c44857483e407f579,CREAM WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM-WETH(sush),0xf169cea51eb51774cf107c88309717dda20be167
16089340,0x304494a754b54d049e6102378bfddff3b00d43c911ae8909381f0bb2b1d27d78,WETH DAI PLR,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x6b175474e89094c44da98b954eedeac495271d0f 0xe3818504c1b32bf1557b16c238b2e01fd3149c17,DAI-PLR(usp2) DAI-WETH-0.0005(usp3) WETH-PLR(usp2),0x025d34acfd5c65cfd5a73209f99608c9e13338f3 0x60594a405d53811d3bc4766596efd80fd545a270 0xae2d4004241254aed3f93873604d39883c8259f0
16089340,0xf6958814d7048abd016fdc6f53d4ae4ec9b6d062a60f8313751ca2145c8024cb,WETH PLR,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xe3818504c1b32bf1557b16c238b2e01fd3149c17,WETH-PLR(sush) WETH-PLR(usp2),0x8fedca1b2aa38dd751bf4cb329d2a1fc5b26e8f2 0xae2d4004241254aed3f93873604d39883c8259f0
16089340,0xdca3e3af1b468c50f668fc978620ffbb628b3f2f2959ffe6ec9a89083a143176,CREAM WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM-WETH(sush) CREAM-WETH(usp2),0xf169cea51eb51774cf107c88309717dda20be167 0xddf9b7a31b32ebaf5c064c80900046c9e5b7c65f
16089342,0xb45abfb01f59de1103195f697ebbe267dc834619bee90d1259a77574f8d02826,CREAM WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM-WETH(sush),0xf169cea51eb51774cf107c88309717dda20be167
16089344,0x86493538902074e825895998af69c9af31305ddc57163eba6a81207102e8accf,CREAM WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM-WETH(sush),0xf169cea51eb51774cf107c88309717dda20be167
16089350,0x77c0577f17022d6b25f284bb0c758d8c805071fae766b7420730eaa16243c188,WETH LEASH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x27c70cd1946795b66be9d954418546998b546634,LEASH-WETH-0.010(usp3),0xc246467ab1466f4963ba45c335479b3055e82060
16089350,0x726b47aca78de1c0efb74fd345f5e92a2da310c0aa7b8333a9f461b5d9bedd34,WETH PLR,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xe3818504c1b32bf1557b16c238b2e01fd3149c17,WETH-PLR(sush) WETH-PLR(usp2),0x8fedca1b2aa38dd751bf4cb329d2a1fc5b26e8f2 0xae2d4004241254aed3f93873604d39883c8259f0
16089350,0x2578464ba92441748f367609be1a2c7f3bf2e2553d173df86a17a185872dc5f7,BNT WETH ROOK PLR,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xfa5047c9c78b8877af97bdcb85db743fd7313d4a 0xe3818504c1b32bf1557b16c238b2e01fd3149c17,WETH-ROOK(usp2) WETH-PLR(usp2),0x70ec2fa6eccf4010eaf572d1c1a7bcbc72dec983 0xae2d4004241254aed3f93873604d39883c8259f0
16089352,0x05fbd72e9c0544a7389731de09147d4507f7ca834c9826c92ece4e1f54d446bb,BONE WETH LEASH,0x9813037ee2218799597d83d4a5b6f3b6778218d9 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x27c70cd1946795b66be9d954418546998b546634,BONE-WETH-0.003(usp3),0xb011e4eb4111ef00b620a5ed195836dcd69db1ff
16089357,0xcd0e084f95c9086b688fc99552ab7c75ac747a16770317a67f2e84ce1c02fb98,CREAM WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM-WETH(sush),0xf169cea51eb51774cf107c88309717dda20be167
16089359,0x0d3996421baa3f156db7e409f2f16d2db7a8f8995f106c08f77dc101e8a692ff,gOHM WETH,0x0ab87046fbb341d058f17cbc4c1133f25a20a52f 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,gOHM-WETH-0.003(usp3) gOHM-WETH(sush),0xc987d503a9f78f6d1d782c1fff5af4cb34437e3f 0x8ed26a97ca17ae8f652f182091475ffa9b07b084
16089361,0x9369d925132a7540bdb8db0e48ef5b1e65edabcc27684c03c3aa5f85b332900a,ERN WETH,0xbbc2ae13b23d715c30720f079fcd9b4a74093505 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERN-WETH(usp2) ERN-WETH-0.003(usp3),0x570febdf89c07f256c75686caca215289bb11cfc 0x07ed78c6c91ce18811ad281d0533819cf848075b
