index,address,token0_address,token0_name,token0_symbol,token0_decimals,reserve0,token1_address,token1_name,token1_symbol,token1_decimals,reserve1
22,0xca6CA8F8095d2D3AFeb8c1dC084235A6b2dbE205,0x389999216860AB8E0175387A0c90E5c52522C945,FEGtoken,FEG,9,56560213124432344976,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18.0,4012170835843532517834136
23,0xFf64Cb7Ba5717a10DAbC4Be3A41acd2C2F95eE22,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,166537318709199351862451657464,0x9813037ee2218799597d83D4a5B6F3b6778218d9,BONE SHIBASWAP,BONE,18.0,1472934310424247448673746
24,0x351C3702414c0f1D8AcB0156fdc20aEDa8D07a8f,0x27C70Cd1946795B66be9d954418546998b546634,DOGE KILLER,LEASH,18,2061293817125194854390,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18.0,65964145948836656678119009927
25,0x586ffFBF6f47ba9A9946462f613718208AAe3DaC,0x86bf8963e1781Bf2Ef9571A2691d0692b28520b3,FAFO,FFO,18,1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,1115459
26,0xc639880d610CAf150afc5aABE23f3e28c0d655c5,0x27C70Cd1946795B66be9d954418546998b546634,DOGE KILLER,LEASH,18,1818041264863465645,0x761D38e5ddf6ccf6Cf7c55759d5210750B5D60F3,Dogelon,ELON,18.0,1957773515744598353681899927
27,0xf6bAdfb9b0ab2F8F3FD8225Ef1eA12fA689aD1a7,0x27C70Cd1946795B66be9d954418546998b546634,DOGE KILLER,LEASH,18,3956430440615882247039,0x9813037ee2218799597d83D4a5B6F3b6778218d9,BONE SHIBASWAP,BONE,18.0,1119682629538373853886757
28,0xb7A314209E4466a4acA94328e380f580aE33E837,0x3F382DbD960E3a9bbCeaE22651E88158d2791550,Aavegotchi GHST Token,GHST,18,7378,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,138018238017503
29,0x187F25d7BA42BF908169b12b8f63B45c671eD92d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,20998487306610319,0xCF8335727B776d190f9D15a54E6B9B9348439eEE,Whackd,WHACKD,18.0,22713814972949231973418
30,0xa29F306fF5b479490236CD1c13AB943B72079EBE,0x27C70Cd1946795B66be9d954418546998b546634,DOGE KILLER,LEASH,18,6011268483384768,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,Graph Token,GRT,18.0,33364942828838331478
31,0x5D100323B05162A5aaF9eDe240d8546E336539E4,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,1901167192645167800905735,0xC40AF1E4fEcFA05Ce6BAb79DcD8B373d2E436c4E,Hokkaidu Inu,HOKK,9.0,34197385059305860309524
32,0xbB6D133d7f36705EA058cFd706082Aa382f23De9,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,MATIC,18,4195220351288901268307,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,3044143181541382253
33,0xDcAE9805fBd3762ADea2e45f2df0f19C6123F09E,0x57654aE132413E81459aD2AE70C2570A9B89fB53,ShibaSwap LP Token,SSLP,18,15530575320194,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,4013409177123
34,0xf50c51d92aab9aFdAD0fb935B84AAe2dc76FF64b,0xB4a81261b16b92af0B9F7C4a83f1E885132D81e4,xShib Staked Shiba Inu,xSHIB,18,4536952917937581713335606324,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,33641151463488335951
35,0x9f12f4b11056F4addDF08e8f56AA227010E464Ac,0xA2b4C0Af19cC16a6CfAcCe81F192B024d625817D,Kishu Inu,KISHU,9,3426994581736144464763,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,1217186289199643804
36,0xC795a1e870aBDcCf7E828a01694E3c27A9f3F2c2,0x3Ea50B7Ef6a7eaf7E966E2cb72b519C16557497c,Rocket Bunny,BUNNY,9,9913618305085168080903,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,2321984986601718
37,0x9379F5e035CF6148c6bbEE1D6415795cc773b0A4,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,5297013172114201752173268875,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6.0,64556756318
38,0x256ad58156557605274B3392F8bfE05E1E4fca8A,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,MATIC,18,35616231641521761224790,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18.0,3521396823388609648570885117
39,0xA1B75eB7033CfcBb41eB10E4E084AfE16d6a14E2,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,Aave Token,AAVE,18,25005311119746332,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18.0,96818503689966033268037
40,0xba55F4d438CFCA4BaD6fB151e687EDE9a13bc67f,0x389999216860AB8E0175387A0c90E5c52522C945,FEGtoken,FEG,9,426274222845737879259,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,175791387849441768
41,0x4a0cA4aDC92b3be91F72113d5ff731CE85FeA173,0x20e90fc085d767F33233C44a75A725cC4C1230c3,Baby Shiba,BSHIB,18,95166046034784515280660,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,347582331682586
42,0xaB4e0c432904d16415A6a5Bc8C59C75d11A534F3,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,6720450031603,0x9BE89D2a4cd102D8Fecc6BF9dA793be995C22541,Binance Wrapped BTC,BBTC,8.0,1
43,0xBE8f10F22B2dbAF9B0842c8F7b2E6b4D1cdB6A71,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,90917,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,Graph Token,GRT,18.0,12
44,0x45E2994921f40804728edFA3D6BB4a93e167EA52,0xa47c8bf37f92aBed4A126BDA807A7b7498661acD,Wrapped UST Token,UST,18,114065115872947,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6.0,7
45,0x5E8981ac03C349ecFF06ad1B0FE70c2F573Ac790,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,Decentraland MANA,MANA,18,4152007209186901779211,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,1997274095439442893
46,0x28703D2F3346612C7A0AA526BEc472BA3960a0ab,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,Uniswap,UNI,18,240,0x408e41876cCCDC0F92210600ef50372656052a38,Republic Token,REN,18.0,4191
47,0x34800502297aF8d9834aE4d713d56A2995C93966,0x831091dA075665168E01898c6DAC004A867f1e1B,Gains V2,GFARM2,18,21749370501412,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6.0,1
48,0x895D806F6de5A7ca29E04dB0afF13aAaf7e5B70a,0x0b25BFa134aE127B22ce556ecda203B1Af336236,Eternal Liquidity Token,ELIT,18,26840116655798740323633,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,1
49,0x42BF7367D96aFEeECDB6209c8A6573ce6d55B511,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,401197029937076431,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,Amp,AMP,18.0,135156795044620648465547
50,0x463e0fDB031A9A2C8DA67ee7579268b8cB731fA6,0x0b25BFa134aE127B22ce556ecda203B1Af336236,Eternal Liquidity Token,ELIT,18,34024486207304827978037,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18.0,1206450926811264294257
51,0x9DE02B32e7f131953Dc0849c97B5dbD19cD49C56,0x15874d65e649880c2614e7a480cb7c9A55787FF6,EthereumMax,eMax,18,11663951282090275886970712952,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,18148161928372084
52,0x750D99C08E4c350210EECE68df6a0DE4477f8D5c,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,3139328127508579607553165,0xCF6dAAB95c476106ECa715D48DE4b13287ffDEAa,ShibaSwap LP Token,SSLP,18.0,149927673501484807690
53,0xFD250955CE777CfD672EF3163238175E360Ba8c2,0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,18,494931126664677417592,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18.0,305206322495313033675185916
54,0xFe8f0fbF790033EC867444cD26b9d12931916E31,0x27C70Cd1946795B66be9d954418546998b546634,DOGE KILLER,LEASH,18,59484511332789178920,0x892A6f9dF0147e5f079b0993F486F9acA3c87881,unification.com/xfund,xFUND,9.0,17441942016
55,0x2F9dCDB37D4C450756E7675c93D74bDF9B3173dc,0x06A01a4d579479Dd5D884EBf61A31727A3d8D442,SmartKey,Skey,8,1862550570,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18.0,27230223629351111775600
56,0x024344DA138B76ff2F5Ce2386abdb4C97659b181,0x761D38e5ddf6ccf6Cf7c55759d5210750B5D60F3,Dogelon,ELON,18,106171544952640037313275065204,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18.0,3130012531948137696049267875
57,0x6aE45932b9C1e9D4A99dba137B990A02B81f8a74,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,28428745873925298,0xd6327ce1fb9D6020E8C2c0E124A1eC23DCAb7536,Cum Inu,CUMINU,18.0,234206012352956799305762
58,0x09163bAf25FE038149A2051136D2Ae354D0F978F,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,Uniswap,UNI,18,610786378097918,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6.0,4341
59,0xf34E7550D64e0988306a24Ec495A0Fe4c44d3864,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,63822377737516,0xF5D669627376EBd411E34b98F19C868c8ABA5ADA,Axie Infinity Shard,AXS,18.0,8239455335200403
60,0xb089A1e4BC2fC867F4719e4222A7495A5d74aD6a,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped BTC,WBTC,8,2895,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,MATIC,18.0,840870980757886649
61,0x0fBf4bf0c8dC157522Ada467E3C8D897051aFb29,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,2212709810,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,OMGToken,OMG,18.0,1412589158358
62,0xb39892A76135B6b8B05b122cFF6C03c016e0A736,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,25792877038082552778964022,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,Amp,AMP,18.0,69880177582920709794527
63,0x2e77ecEbac657a907de8939F5d12d956e94a5243,0x4294cEc316f4ec2307Db1D62416B9d60aE33214a,BabyShibaCoin,BabyShiba,12,100000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,10
64,0xa511dE93A7A43fF6012Fb975328CDD716e5ea428,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,1,0xe88f8313e61A97cEc1871EE37fBbe2a8bf3ed1E4,Sora Validator Token,VAL,18.0,208464970564106287
65,0x3d09c801a9dFAC464478484CFf82d999d05b979e,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,588597,0xE452E6Ea2dDeB012e20dB73bf5d3863A3Ac8d77a,Wrapped Celo,wCELO,18.0,2
66,0x83c8c1cB9BCc072d0736Dc57992448257b85ebC9,0x17eb50FDD2995696eE82912a80a9766fCBb0ECcA,DogenToken,DOGEN,18,106606274584061779302216016,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,11505469590313793
67,0x46AC8cfb4C883dcDbd8f1130E44Ca0AE2A758F97,0x993864E43Caa7F7F12953AD6fEb1d1Ca635B875F,Singularity Dao,SDAO,18,44620654193063130,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,1
68,0x2A529766847129F8cc13cEBC6b7dFe89Ee49D55C,0x8E6cd950Ad6ba651F6DD608Dc70e5886B1AA6B24,StarLink,STARL,18,2784519449869732015356315648,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,5871058693124742013
69,0xf6229d0D133C0aE2565d485003a1FE70f07775D2,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped BTC,WBTC,8,244717,0x9813037ee2218799597d83D4a5B6F3b6778218d9,BONE SHIBASWAP,BONE,18.0,38283200476786440911
70,0x8D9cfcC40415D3340eeC2244dF8a87dDA621E9F1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,117563234538892166,0xc73C167E7a4Ba109e4052f70D5466D0C312A344D,Sanshu Inu,SANSHU,9.0,3214019671863231340723
71,0xEE448F621a2Ed036429Bad03c42D67623161a255,0x5322A3556F979cE2180B30e689a9436fDDCB1021,yTSLA Finance,yTSLA,18,9865912508007,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,130375
72,0x29bAA9EBCCE8552B030bC1138D5d64893018b329,0x38A94e92A19E970c144DEd0B2DD47278CA11CC1F,Falcon 9,F9,9,11497597887479278,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,21644361438257546831
73,0x7A019E9f33af312b5E5c6b065fBC733CcaA09F39,0x249e38Ea4102D0cf8264d3701f1a0E39C4f2DC3B,THE TRUTH,UFO,18,8499814425117281519248878607,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,9498098415469000280
74,0x7afd94eC6EEe797003f7Cd18E8F93a0CFeaAA0e5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,82276962768219804,0xF32aa187d5Bc16A2C02A6aFb7Df1459d0D107574,Hachiko Inu,Inu,18.0,13352094153074638444456959139
75,0x428e2a915Ea8EE015e780Da43e63857d05E93D10,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,24199347861110839692090423,0xA2b4C0Af19cC16a6CfAcCe81F192B024d625817D,Kishu Inu,KISHU,9.0,575514641333822520581
76,0x8f636f0CB6d54146BF8dF48e977d2F727037140f,0x106552C11272420aAd5d7e94f8AcAb9095A6c952,Keanu Inu,KEANU,9,2485410447615732034249,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,17577919880287198
77,0x8076b63EF39D031e4AaD48244B84848dFC540114,0x8E6cd950Ad6ba651F6DD608Dc70e5886B1AA6B24,StarLink,STARL,18,3707813613074375359634567,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18.0,1996919408999365522509099
78,0x1A1405B7B2065fB72eD0B4f97027A101550c52A7,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,Maker,MKR,18,8021605456203706,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,3516840290456552
79,0xF7Fc1B860fDC2f8deae90760C8bE48472619E525,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,8001024,0xFE3E6a25e6b192A42a44ecDDCd13796471735ACf,Reef.finance,REEF,18.0,1694919471231
80,0x2d569def1078f3A20cf928d06588631930b11d2d,0x1cA02DD95f3F1e33DA7F5AfE15EA866dAb07aF04,King Arthur,BKING,9,14474435216981654225,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,874251735151537
81,0xf86c94c39A11e9535CABdf3cA07149Eb0E7F24cC,0xBdea5bB640DBFC4593809DEeC5CdB8F99b704Cd2,Direwolftoken.com,DIREWOLF,2,7304351891427,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,110429640456125
82,0xd00f09C2acdB2aACA842060029FB9ddC05739b28,0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,461826990266634720803,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18.0,38271794303416816716882111
83,0xaf5755a00c02365bf8cd7f52472CFbB83822f842,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,591768666614018238688,0xf8C3527CC04340b208C854E985240c02F7B7793f,Frontier Token,FRONT,18.0,7316671694146536
84,0x6dE1f2dDF595139fc196fF98C14DfDB4D6b3fab0,0x9813037ee2218799597d83D4a5B6F3b6778218d9,BONE SHIBASWAP,BONE,18,9922985725108180566,0xEFb47fcFCaD4F96c83D4ca676842fB03Ef20a477,ShibaSwap LP Token,SSLP,18.0,160218884708765874
85,0xcb3cC8519Db5efD070f76A85CEa754b2AeC12843,0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,HEX,HEX,8,432209686475,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6.0,108521999
86,0x8179aad7D970916Faf4dCa67CACA0b886341332e,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,MATIC,18,744434012084976230,0xA2b4C0Af19cC16a6CfAcCe81F192B024d625817D,Kishu Inu,KISHU,9.0,580227253129176480
87,0x6031d979635b5C8bF7EE4db905057beBb8760203,0x0258F474786DdFd37ABCE6df6BBb1Dd5dfC4434a,Orion Protocol,ORN,8,1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,5009991
88,0xc3c8D25C9380483e78E8f96A77Afc3953Ce5F8ae,0x18aAA7115705e8be94bfFEBDE57Af9BFc265B998,Audius,AUDIO,18,41297107281429491323,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,5034108300896918
89,0xE6D18f319914024Fee4E7367C3aC8eDef28ea88e,0xA2b4C0Af19cC16a6CfAcCe81F192B024d625817D,Kishu Inu,KISHU,9,2957768261472165827,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,Amp,AMP,18.0,60434758312705071545
90,0x13c36CD6bA72126d20FCE1229bd1d3c90E130219,0x97b65710D03E12775189F0D113202cc1443b0aa2,ASTROELON,ELONONE,9,67048629715182220,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,360805250727591
91,0x66CB1be16B77032e63F8Ea989Af960f0c09cb349,0x4575f41308EC1483f3d399aa9a2826d74Da13Deb,Orchid,OXT,18,274387956360705452384,0xB64ef51C888972c908CFacf59B47C1AfBC0Ab8aC,StorjToken,STORJ,8.0,4674385752
92,0x2822CEa4D1f992e256f958726999A9fd1B9AB1f1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,1,0xf4CD3d3Fda8d7Fd6C5a500203e38640A70Bf9577,YfDAI.finance,Yf-DAI,18.0,5403332122987573
93,0x0A378e0C8F1f2e2492b8e5E386bCB256187e0f54,0x072c46F392E729C1f0D92a307c2C6DBA06B5D078,Snoop Doge,SNOGE,9,4134133214458,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,4932207772635629
94,0x8EC61652E0e1a538224C97137C2dA6A9D400Bf04,0x3301Ee63Fb29F863f2333Bd4466acb46CD8323E6,Akita Inu,AKITA,18,914161062105153028499795496,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,108528300898765172
