poolAddress,token addresses
0x117d4288b3635021a3d612fe05a3cbf5c717fef2,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x560f25525284303820b232c40630145c0341e3fd,0x00d1793d7c3aae506257ba985b34c76aaf642557 0xa91c82b6933105c23298e631a0c1be751d239162
0x31fa985bb0c282a814e7f3f0dce88b2a44197f60,0x69af81e73a73b40adf4f3d4223cd9b1ece623074 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x319ead06eb01e808c80c7eb9bd77c5d8d163addb,0x1b8568fbb47708e9e9d31ff303254f748805bf21 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0d80f8a039cc61b659ff299bb132de271c757325,0x46e98ffe40e408ba6412beb670507e083c8b95ff 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x796bc3622a6e0cd32e7bc02a9b6d6fdcbaf1cb26,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x15399e2ccee115712f37d7434455c79483ee84bc,0x135b810e48e4307ab2a59ea294a6f1724781bd3c 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xc30647f1cfd4ac75e5a3dbb460d1a728a1f67ac5,0x1c9922314ed1415c95b9fd453c3818fd41867d0b 0x46e98ffe40e408ba6412beb670507e083c8b95ff
0x6028eb8adda090cdf08fb5dfbe873081fd736867,0x2559813bbb508c4c79e9ccce4703bcb1f149edd7 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xe229a818d7e9f74a6ebbce9a2b2ebc8d7004edd2,0x557b933a7c2c45672b610f8954a3deb39a51a8ca 0x9b83f827928abdf18cf1f7e67053572b9bceff3a
0xa6f4eae7fdaa20e632c45d4cd39e4f3961892322,0x0316eb71485b0ab14103307bf65a021042c6d380 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xf848e97469538830b0b147152524184a255b9106,0x1bbf25e71ec48b84d773809b4ba55b6f4be946fb 0x97be09f2523b39b835da9ea3857cfa1d3c660cbb
0x44b77e9ce8a20160290fcbaa44196744f354c1b7,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599 0x961c8c0b1aad0c0b10a51fef6a867e3091bcef17
0xf21638ee30e1ee8ccff28c08583f0b5ca208dab1,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b,0xa47c8bf37f92abed4a126bda807a7b7498661acd 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x15e86e6f65ef7ea1dbb72a5e51a07926fb1c82e3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xff20817765cb7f73d4bde2e66e067e58d11095c2
0xdc2b82bc1106c9c5286e59344896fb0ceb932f53,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xd291e7a03283640fdc51b121ac401383a46cc623
0x76911e11fddb742d75b83c9e1f611f48f19234e4,0x961c8c0b1aad0c0b10a51fef6a867e3091bcef17 0xdac17f958d2ee523a2206206994597c13d831ec7
0x2c1564290f52206bc396131ba5a5cf4cd2343a28,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xeb9951021698b42e4399f9cbb6267aa35f82d59d
0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xc5fb36dd2fb59d3b98deff88425a3f425ee469ed
0x6d2f0fabb11ea0b1f4416711758e86e86fa7c154,0xa92e7c82b11d10716ab534051b271d2f6aef7df5 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xfceaaf9792139bf714a694f868a215493461446d,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x9b7dad79fc16106b47a3dab791f389c167e15eb0,0x967da4048cd07ab37855c090aaf366e4ce1b9f48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xc5ed7350e0fb3f780c756ba7d5d8539dc242a414,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xc0ba369c8db6eb3924965e5c4fd0b4c1b91e305f
0x132eeb05d5cb6829bd34f552cde0b6b708ef5014,0x1b40183efb4dd766f11bda7a7c3ad8982e998421 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xa03154bfb9a750b944b5f8de7a744a34ac6dd16d,0x965697b4ef02f0de01384d0d4f9f782b1670c163 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xb63c2f390803119a98ac63a371bcc657e366df0f,0xd7efb00d12c2c13131fd319336fdf952525da2af 0xdac17f958d2ee523a2206206994597c13d831ec7
0x64c9cfa988bbe7b2df671af345bcf8fa904cebb8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xe88f8313e61a97cec1871ee37fbbe2a8bf3ed1e4
0x64aae17164aa665c50fbfe6176b50f33afae1c3d,0x0affa06e7fbe5bc9a764c979aa66e8256a631f02 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xbcd6a2ddafbaa7f424698ed69e717c0c0f1e99bf,0x8564653879a18c560e7c0ea0e084c516c62f5653 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2680a95fc9de215f1034f073185cc1f2a28b4107,0x8a854288a5976036a725879164ca3e91d30c6a1b 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x722885cab8be10b27f359fcb225808fe2af07b16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xef9cd7882c067686691b6ff49e650b43afbbcc6b
0x14b6154bcbf537368af932901456a7feb57cbe5a,0x2f109021afe75b949429fe30523ee7c0d5b27207 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xd533a949740bb3306d119cc777fa900ba034cd52
0xc2f71bbca8fc4b8f0646bfe49c2514913f51c328,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599 0x630d98424efe0ea27fb1b3ab7741907dffeaad78
0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xaa500101c73065f755ba9b902d643705ef2523e3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xef9cd7882c067686691b6ff49e650b43afbbcc6b
0xabd9c284116b2e757e3d4f6e36c5050aead24e0c,0x961c8c0b1aad0c0b10a51fef6a867e3091bcef17 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x56b9f76ae3c872818f9250a700a2626240ae0169,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599 0x35a532d376ffd9a705d0bb319532837337a398e7
0x4620bee6e5bd679b0242bf0bd6291b0ac45b909b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xba41ddf06b7ffd89d1267b5a93bfef2424eb2003
0xcb2286d9471cc185281c4f763d34a962ed212962,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xd46ba6d942050d489dbd938a2c909a5d5039a161
0xe53c884c5a297713197217509ffb654c9677b347,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x97f34c8e5992eb985c5f740e7ee8c7e48a1de76a,0xad32a8e6220741182940c5abf610bde99e737b2d 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xec6a6b7db761a5c9910ba8fcab98116d384b1b85,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xf169cea51eb51774cf107c88309717dda20be167,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xcc3d1ecef1f9fd25599dbea2755019dc09db3c54,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
